"","iso","year","threshold","mnninc999i","mhweal999i","w","n","currency"
"92","AE",2014,1e+10,317247193320.826,672813606599.555,0,0,"EUR"
"93","AE",2014,2e+10,317247193320.826,672813606599.555,0,0,"EUR"
"94","AE",2014,5e+10,317247193320.826,672813606599.555,0,0,"EUR"
"95","AE",2014,1e+11,317247193320.826,672813606599.555,0,0,"EUR"
"96","AE",2015,1e+05,339860153831.68,765489137950.284,638039271377,1640447,"EUR"
"97","AE",2015,2e+05,339860153831.68,765489137950.284,517120006137,780658,"EUR"
"98","AE",2015,5e+05,339860153831.68,765489137950.284,349911461055,228714,"EUR"
"99","AE",2015,1e+06,339860153831.68,765489137950.284,251117665038,81945,"EUR"
"100","AE",2015,2e+06,339860153831.68,765489137950.284,175273071311,26526,"EUR"
"101","AE",2015,5e+06,339860153831.68,765489137950.284,115611772611,6136,"EUR"
"102","AE",2015,1e+07,339860153831.68,765489137950.284,88439826018,2149,"EUR"
"103","AE",2015,2e+07,339860153831.68,765489137950.284,70011396137,782,"EUR"
"104","AE",2015,5e+07,339860153831.68,765489137950.284,52427566767,192,"EUR"
"105","AE",2015,1e+08,339860153831.68,765489137950.284,45375090973,73,"EUR"
"106","AE",2015,2e+08,339860153831.68,765489137950.284,43018547771,56,"EUR"
"107","AE",2015,5e+08,339860153831.68,765489137950.284,31987443275,23,"EUR"
"108","AE",2015,1e+09,339860153831.68,765489137950.284,17304891587,4,"EUR"
"109","AE",2015,2e+09,339860153831.68,765489137950.284,17304891587,4,"EUR"
"110","AE",2015,5e+09,339860153831.68,765489137950.284,11356335104,2,"EUR"
"111","AE",2015,1e+10,339860153831.68,765489137950.284,0,0,"EUR"
"112","AE",2015,2e+10,339860153831.68,765489137950.284,0,0,"EUR"
"113","AE",2015,5e+10,339860153831.68,765489137950.284,0,0,"EUR"
"114","AE",2015,1e+11,339860153831.68,765489137950.284,0,0,"EUR"
"115","AE",2016,1e+05,336709523623.286,772574805402.718,641734281186,1670543,"EUR"
"116","AE",2016,2e+05,336709523623.286,772574805402.718,517446634857,786039,"EUR"
"117","AE",2016,5e+05,336709523623.286,772574805402.718,348979353272,229238,"EUR"
"118","AE",2016,1e+06,336709523623.286,772574805402.718,250528492731,82413,"EUR"
